module	name	class	n_steps	pC3_alone	rest_of_genome	whole_genome	pC3_unique_complete	pC3_raises_completeness
M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type	Pathway modules; Energy metabolism; Carbon fixation	4	0.0000	0.2500	0.2500	0	0
M00171	C4-dicarboxylic acid cycle, NAD - malic enzyme type	Pathway modules; Energy metabolism; Carbon fixation	7	0.0000	0.1429	0.1429	0	0
M00172	C4-dicarboxylic acid cycle, NADP - malic enzyme type	Pathway modules; Energy metabolism; Carbon fixation	4	0.0000	0.2500	0.2500	0	0
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	Pathway modules; Energy metabolism; Carbon fixation	10	0.0000	0.3000	0.3000	0	0
M00174	Methane oxidation, methanotroph, methane => formaldehyde	Pathway modules; Energy metabolism; Methane metabolism	2	0.0000	0.0000	0.0000	0	0
M00175	Nitrogen fixation, nitrogen => ammonia	Pathway modules; Energy metabolism; Nitrogen metabolism	1	0.0000	0.0000	0.0000	0	0
M00176	Assimilatory sulfate reduction, sulfate => H2S	Pathway modules; Energy metabolism; Sulfur metabolism	3	0.0000	0.0000	0.0000	0	0
M00307	Pyruvate oxidation, pyruvate => acetyl-CoA	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	1	0.0000	0.0000	0.0000	0	0
M00308	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	4	0.0000	0.2500	0.2500	0	0
M00309	Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	3	0.0000	0.0000	0.0000	0	0
M00338	Cysteine biosynthesis, homocysteine + serine => cysteine	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism	2	0.0000	0.0000	0.0000	0	0
M00344	Formaldehyde assimilation, xylulose monophosphate pathway	Pathway modules; Energy metabolism; Methane metabolism	4	0.0000	0.5000	0.5000	0	0
